variables,expected_output,metadata
"{""input"": ""Can the Cyclone Rake hook up to the John Deere Power Flow Bagger?""}","We have some customers successfully connect the Cyclone Rake to the John Deere Power Flow Bagger, but we would recommend our MDA instead for the easiest connection. It's possible to do, but tricky and may require some extra parts that we don't supply. When you separate the chute from the outlet of the power flow blower the opening is rectangular, and also the neck does not protrude that much, so overlapping and securing securing the round hose is a bit difficult. On the other hand, it is a bit of a pain in the neck to remove and re-attach the power flow system on and off the deck when you want. It is a belt driven mechanism, and requires a bit of work.","{""id"": ""Q - 226""}"
"{""input"": ""Can I convert my Commander to use the Commercial Pro Bag?""}","Unfortunately, the Commander model you currently have will not accommodate the larger 415 gallon collector bag. The chassis is too small and there would be many components needed to convert it to the larger bag style. While we understand the 415 gallon capacity could be more accommodating for you, we do not recommended converting the Commander model you have. Down the road, if you have any questions about our larger units or would like information with current pricing, we would be glad to help you!","{""id"": ""Q - 205""}"
"{""input"": ""What is the part number for Replacement Chassis for #101 - Standard Complete Platinum Standard Platinum?""}",Part #01-01-600A --Chassis Unit Complete (31- 3/4 inches wide),"{""id"": ""Q - 178""}"
"{""input"": ""Do the engines have a valve seat?""}","Yes, sort of. There is a metal ring that is pressed into the cylinder head that the valve rests on when it is in the closed position. This is not a common problem for these engines. This is not a replaceable part - Briggs recommends replacing the entire head.","{""id"": ""Q - 234""}"
"{""input"": ""What is the part number for replacement Engine for a                    104 - Commercial PRO Commercial Pro?""}",Part #01-04-158 -- Briggs & Stratton XR950 PRO Engine Upgrade Kit                                                                                                                                                                             Part #01-04-306 -- Briggs & Stratton 6.5HP Vanguard Cyclonic Upgrade Kit,"{""id"": ""Q - 167""}"
"{""input"": ""What is the part number for replacement Engine for a                    107 - Commercial PRO JetPath Commercial Pro?""}",Part #01-04-158 -- Briggs & Stratton XR950 PRO Engine Upgrade Kit                                                                                                                                                                             Part #01-04-306 -- Briggs & Stratton 6.5HP Vanguard Cyclonic Upgrade Kit,"{""id"": ""Q - 168""}"
"{""input"": ""What is the Difference between the XR950 and 6.5HP Cyclonic Vanguard?""}","Both the Briggs & Stratton XR950-PRO and the 6.5HP Cyclonic Vanguard engines deliver excellent performance for your Cyclone Rake. However, the Vanguard engine offers several premium features that may enhance your experience.

Key Advantages of the XR950-PRO Engine:

1. 9.50 ft-lbs Gross Torque for reliable power and performance
2. 208cc displacement for efficient operation
3. Compact and lightweight design (Approx. 35.5 lbs) for ease of use

Key Advantages of the 6.5HP Cyclonic Vanguard Engine:

1. Extended 3-year warranty (compared to 2 years with XR950-PRO)
2. Transport Guard™ System prevents oil and fuel mixing during transport
3. High-capacity air cleaner for enhanced filtration and engine protection
4. Low-tone muffler system for quieter operation
5. Commercial-grade carburetor for improved fuel efficiency and consistent performance

Both engines are designed to power your Cyclone Rake effectively, but the Vanguard engine includes additional premium features that offer increased durability and convenience.","{""id"": ""Q - 230""}"
"{""input"": ""Can the Cyclone Rake connect to a Ventrac mower?""}","While it is theoretically possible to connect the Cyclone Rake to a Ventrac mower, we strongly advise against it. We can connect the hitch, MDA, and deck hose to the mower, but you will not be able to make a left-hand turn and turning right will be difficult. A hanger bracket will need to be manufactured and the overall length makes it cumbersome. Based on customer feedback, we do not recommend connecting to this mower. (One of our customers needed 14 feet of hose to use the Cyclone Rake).

You could use a longer hose, but you would have to pay extra for additional hose, and it undercuts the fundamental design of the Cyclone Rake. Not only does the dual pin hitch allow a rigid mount, and makes it impossible to jackknife, it also allows us to use the shortest, and straightest length of deck hose possible. The dual pin hitch allows us to use a fixed length of hose, all but eliminating the opportunity for the clogging and hassle you see in other machines with long, winding hoses. Having the mower articulate would defeat the purpose of our design.","{""id"": ""Q - 224""}"
"{""input"": ""What is the part number for  New Three Piece Side Tubes (Aug 2023)?""}",Part #01-03-2195-Set of 1 Three Piece Side Tubes                                                                                                                                                                                                                                             Part #01-03-2196-Set of 2 Three Piece Side Tubes,"{""id"": ""Q - 179""}"
"{""input"": ""What is the part number for Replacement Exit Chute #101 - Standard Complete Platinum Standard Platinum""}",Part #01-02-077 -- Standard Platinum Exit Chute,"{""id"": ""Q - 175""}"
"{""input"": ""Can I use the 3rd Wheel Jackstand with a different leaf and lawn vacuum or cart?""}","Our 3rd Wheel Jackstand was designed specifically for the Cyclone Rake only. We don't know how it would work with other leaf and lawn vacuum systems or on a separate cart, but you can check out the instructions below to get an idea of how it attaches on the Cyclone Rake. Keep in mind the 3rd Wheel Jackstand is for storage purposes only!","{""id"": ""Q - 220""}"
"{""input"": ""Rear wheel rubber boot torn for 109 - Commander. What is the replacement for this part?""}",The replacement part is 02-04-700A.,"{""id"": ""Q - 005""}"
"{""input"": ""Is this part under warranty?""}","Yes, we provide 2 years of warranty and this vacuum is still applicable.","{""id"": ""Q - 006""}"
"{""input"": ""Lawn-and-leaf vacuum for a 1-acre property that is battery-operated with self-propelling features.""}","Thank you for reaching out to us with your question! I am happy to help you.

While the Cyclone Rake lineup is known for its power and high-capacity vacuuming (especially for properties your size), all Cyclone Rake models are tow-behind units powered by gas engines, and not battery-operated or self-propelled in the traditional walk-behind sense.

That said, here’s what I’d recommend based on your needs:

For Larger Properties Like Yours:
Cyclone Rake Commander or Commercial PRO: These models are great for 1-acre+ properties and tow behind your riding mower or zero-turn.

They don’t require pushing or walking—your mower does all the work.

They come with powerful Briggs & Stratton engines, large capacity, and excellent suction for leaves, pine needles, and debris.

While not battery-powered, they save time and physical effort, and outperform most walk-behind vacuums in terms of debris volume and speed.

If you're set on a battery-powered, walk-behind unit, those are typically best suited for smaller yards or spot cleanup. We don’t currently manufacture that type of unit, but we focus on higher-capacity vacuum systems for serious yard work.","{""id"": ""Q - 007""}"
"{""input"": ""What is the status of my order? Order #174892 Shipping Delay""}","Thanks for reaching out about your order status! I'm happy to help you with this.

I looked into your order #174892 and saw that it's currently experiencing a shipping delay. I know how frustrating that can be, and I’m sorry for the inconvenience.

Our shipping manager will be reaching out to FedEx right away to get a clearer picture of what’s causing the holdup. As soon as we hear back, we’ll follow up with you directly with an update on the status and expected delivery.

Thanks for your patience, and we’ll be in touch very soon!","{""id"": ""Q - 010""}"
"{""input"": ""My Hawk V-Twin 720 is making a loud clicking sound when I start it. It still runs, but I’m concerned it might cause damage. Is the loud clicking sound on my new 107 - Commercial Pro 8"" Jetpath normal?""}","hanks for reaching out with your question! I’m happy to clarify this for you.

The Hawk V-Twin 720 is not an engine that came with your 107 – Commercial PRO Cyclone Rake, and it’s not a product we offer or support. Because of that, we’re not able to troubleshoot or diagnose any engine-related issues with it.

If you're concerned about the loud clicking sound, we recommend contacting the engine manufacturer or a qualified service technician who’s familiar with that brand.

If you ever have questions about your Cyclone Rake or its components, I’m always happy to help with that!","{""id"": ""Q - 011""}"
"{""input"": ""How can I check warranty status for my 102 - Commercial?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Since you purchased your 110 – Commercial PRO in June 2023 and it’s equipped with the XR960 PRO engine, your unit is covered by a 2-year warranty from the date of purchase. Even if you can’t find your receipt, you’re still within that warranty window.

If you'd like, we can:

Email you a copy of your original invoice for your records, or

You can log into your account on our website to view your past orders and warranty details.

Here’s a helpful article that outlines what’s included in your coverage:
Understanding Your Cyclone Rake Warranty Coverage

Just let me know how you’d like to proceed—we’re happy to help either way!","{""id"": ""Q - 014""}"
"{""input"": ""Could this be a faulty switch on my 112 - Z-10*?""}","Thanks for contacting us about your Cyclone Rake technical issue! I'll get you back up and running quickly.

If you’re pressing the power button on your 112 – Z-10 and getting no response at all, even with a fully charged battery, here’s what to check first:

Key things to inspect:
Battery Charge: You’ve already confirmed it’s fully charged—great first step.

Fuel Lever: Make sure it's pushed to the right—this is the “ON” position.

Wiring Connections: Check that all harnesses are properly secured:

Engine Harness:

Red wire to solenoid

Black wire grounded to engine block

Both should meet at a grey connector

Battery Harness:

Red to (+) terminal, black to (–)

Also meeting at a grey connector

If the engine starts by pull start, the battery shows proper voltage, and you’ve confirmed good connectivity across the solenoid, then yes—it’s very possible the issue is with the key start switch itself. In that case, replacing it with the Key and Switch Assembly (part #01-02-1978) should solve the problem.

For more details on checking the solenoid, see this article:
Troubleshooting Cyclone Rake 8–10HP Electric Start Issues

Let me know how it goes or if you need help ordering that part!","{""id"": ""Q - 015""}"
"{""input"": ""What is the part number for the engine maintainance kit for an Intek 6 HP?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Looks like you're all set to get your Cyclone Rake 101 – Standard Complete Platinum in top shape with our Engine Maintenance Kit for the Briggs INTEK 6 HP engine. Your model uses part #01-02-200, and it includes everything you need for a quick tune-up before jumping into your yard work.

Here’s what comes in the kit:

Air Filter – Helps increase airflow and improve engine efficiency

Oil – Keeps the engine well-lubricated and reduces wear

Spark Plug & Socket – Ensures smooth starts and clean combustion

Fuel Treatment – Protects your fuel system with premium stabilizer

Funnel – For clean and easy oil changes

Shop Towel – Handy for wiping up any spills

You can find the kit here:
Engine Maintenance Kit – Briggs INTEK 6HP (Part #01-02-200)

And here’s a helpful article with step-by-step instructions:
Using Your Engine Maintenance Kit

Let me know if you need anything else!","{""id"": ""Q - 127""}"
"{""input"": ""Do I have to grease the single or dual wheels?""}","Our current wheel design uses sealed bearings, which means:

1. No lubrication or greasing is necessary
2. The sealed design prevents any lubricant from reaching the bearings
3. This design ensures the bearings stay protected and remain maintenance-free
4. This applies to both single and dual wheel configurations","{""id"": ""Q - 233""}"
"{""input"": ""Can I use premium gas in the engine?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Yes, you can use premium gasoline in your Cyclone Rake engine, but it's not required.

Recommended Fuel:
Unleaded gasoline, minimum 87 octane

Up to 10% ethanol (E10) is acceptable

Premium gas (higher octane) is perfectly fine to use, but it won't necessarily improve performance

The most important thing is to use fresh, clean fuel to ensure smooth starting and efficient operation.

Let me know if you have any other fuel-related questions!","{""id"": ""Q - 219""}"
"{""input"": ""Can Cyclone Rake connect to a finishing mower?""}","Thanks for reaching out with your question! I'm happy to help you with this.

A finishing mower isn't compatible with the Cyclone Rake system. Since finishing mowers are pulled behind the tractor rather than mounted beneath it, there's no way to properly connect the Cyclone Rake’s hitch and deck hose to that setup.

The Cyclone Rake is designed to work with mid- or rear-discharge mower decks that are mounted directly under the tractor chassis.

You can find more compatibility details in this article:
Cyclone Rake Mower Compatibility Guide

Let me know if there is a different kind of tractor and mower that can be used and I'd be glad to confirm if there's a setup that would work for you.","{""id"": ""Q - 196""}"
"{""input"": ""What is the part number for Replacement Key for a Electric Start Engine?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The correct replacement key for your Cyclone Rake electric start engine is:

Part #01-01-1978 – Key, Electric Start

If you need help with anything else, please let me know!","{""id"": ""Q - 169""}"
"{""input"": ""What is the part number for replacement collector bag for the 107 - Commercial PRO JetPath Commercial Pro model?""}","Thanks for reaching out with your question! I’m happy to help you with this.

The replacement collector bag for the 107 – Commercial PRO model is part #05-03-308.

You can view or order it here:
Commercial PRO, XL, and Z-10 Collector Bag – Velcro Style

Let me know if you need anything else to get your setup back in top shape!","{""id"": ""Q - 133""}"
"{""input"": ""What is the part number for replacement Impeller for a          107 - Commercial PRO JetPath Commercial Pro 8"" (Intek Model)?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The correct replacement impeller for the 107 – Commercial PRO JetPath with the 7HP Intek engine is part number 02-03-020. This is the 5-blade orange impeller, and it includes the full hardware kit for installation.

If you need any help with removing the old impeller or installing the new one, I’d be glad to guide you through it.

You can also view available parts here:
Commercial PRO Replacement Parts","{""id"": ""Q - 147""}"
"{""input"": ""What is the part number for Replacement Caster Wheels for Engine/Motor Frame?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The correct part number for replacement caster wheels for your Cyclone Rake Engine/Motor Frame is:

Part #01-02-126 – 4 Caster Wheels with Nuts and Washers (Motor Frame)

If you have any additional questions, please feel free to ask!","{""id"": ""Q - 170""}"
"{""input"": ""What is the part number for Replacement Chassis for  XL?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The correct replacement chassis for your Cyclone Rake XL model is:

Part #02-04-700A – Large Chassis Unit Complete (36-3/4 inches wide)

Please let me know if you have any other questions or if there's anything else I can do for you!","{""id"": ""Q - 174""}"
"{""input"": ""What is the part number for Top Brace Assembly with hardware?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The correct replacement part for the Top Brace Assembly specifically for your Cyclone Rake Classic is:

Part #01-03-360 – Top Brace with Brackets (34.8"" Long) - Classic

Please let me know if you have any other questions or need further assistance!","{""id"": ""Q - 177""}"
"{""input"": ""Can the Cyclone Rake be used with an electric mower?""}","Thanks for reaching out with your question! I'm happy to help you with this.

The Cyclone Rake can work with some electric mowers, but there are important factors to consider. Because electric mowers come in many styles—rear-engine, zero-turn, mid-mount, etc.—compatibility depends on your specific setup.

Key things to check:
Discharge Type: Your mower must have a rear or side discharge deck (not mulching only).

Power Capacity: The mower must be able to handle the added load of towing the Cyclone Rake and collecting debris.

Hitch Mounting: Your electric mower needs a standard rear hitch to connect the Cyclone Rake.

Battery Life: Keep in mind that hauling the rake may reduce your run time significantly.

We recommend sending us your mower’s make and model so we can check compatibility for you.

You can also read more details here:
Using Cyclone Rake with Electric Mowers – Important Considerations

Let me know what kind of mower you're using—I’d be glad to take a closer look!","{""id"": ""Q - 222""}"
"{""input"": ""Can I purchase just the MDA hardware pack? (Skin board hardware part numbers)""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Yes, you can absolutely purchase just the hardware pack for your Mower Deck Adapter (MDA) without buying the full adapter. It’s a great option if you’re replacing worn parts or just want to keep some extras on hand.

To get the right hardware set, we’ll need:
Your mower’s make and model

Your mower deck size

Your current MDA model (if you're replacing an existing setup)

Once we have that info, we can quickly look up the correct part number for you and help place your order.

You can give us a call, request a callback, or reach out through our Contact Us page—whatever’s easiest for you!","{""id"": ""Q - 210""}"
"{""input"": ""Can I Use A Regular Charger For My Electric Start Engine Battery?""}","Thanks for reaching out with your question! I'm happy to help you with this.

For your electric start engine battery, it’s important to use the charger we provide with your Cyclone Rake. That charger is designed with a built-in microprocessor that delivers the precise charge your battery needs.

Why this matters:
It prevents overcharging, which can shorten the battery’s life

It avoids undercharging, which can reduce performance

It ensures safe, long-term charging—especially if you're leaving it connected between uses

Using a standard or generic charger may seem convenient, but it could lead to reduced battery capacity or even damage over time.

Let me know if you need a replacement charger—we’ll be happy to help with that too.","{""id"": ""Q - 215""}"
"{""input"": ""What is the part number for replacement Impeller for a          104 - Commercial PRO Commercial Pro (Intek)?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your 104 – Commercial PRO model with a Briggs & Stratton Intek 7HP engine, the correct replacement impeller is:

Part #02-03-020 – 5-Blade Orange Impeller w/ Hardware Kit
This impeller is compatible with Tecumseh, B&S Intek, and Phase I & II Vanguard engines, and provides excellent suction performance for heavy-duty use.

You can view and order the impeller here:
5-Blade Orange Impeller w/ Hardware Kit

Here’s a helpful guide for the installation process:
Replacing Your Cyclone Rake Impeller

And you can find other compatible parts for your model in our
Aftermarket Parts section.

Let me know if you have any questions or need help placing your order!","{""id"": ""Q - 146""}"
"{""input"": ""Can I use other companies"" parts on my Cyclone Rake?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

We do not recommend using third-party parts with your Cyclone Rake. Every component is engineered and manufactured specifically for the Cyclone Rake system, and combining it with non-original parts can compromise both performance and safety.

Here’s why:
All parts are designed to exact specs by our engineering team for maximum durability and performance

Using non-Cyclone Rake parts may lead to fitment issues, reduced performance, or damage

Most importantly, using third-party parts can void your warranty

Our in-house team is always working to improve materials and functionality, and that level of detail and quality is something we can only guarantee with our original parts.

If you need help finding the right Cyclone Rake component, just let me know—I’m happy to assist!","{""id"": ""Q - 218""}"
"{""input"": ""What is the part number for replacement Exhaust Deflector Screw, 3/8"" sheet metal screw?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The correct replacement part number for the Exhaust Deflector Screw (#8-3/8 sheet metal screw) is:

Part #01-01-298 – Exhaust Deflector Screw, #8-3/8 Sheet Metal Screw

If you need anything else, please don't hesitate to let me know!","{""id"": ""Q - 171""}"
"{""input"": ""What is the part number for replacement Engine for a                    110 - Commercial PRO  with a Vanguard 6.5 Phase II engine?""}","Thanks for reaching out about your Cyclone Rake engine replacement—I’m happy to help with this.

Based on your note, it sounds like you currently have a Vanguard 6.5HP Phase II engine on your Commercial PRO model (model 110). You’ve got two great upgrade options available:

Part #01-04-158 – Briggs & Stratton XR950 PRO Engine Upgrade Kit

Part #01-04-306 – Briggs & Stratton 6.5HP Vanguard Cyclonic Upgrade Kit

Here's a quick breakdown:
If you're replacing an original Vanguard 6.5HP Phase I or Phase II, you can choose either:

XR950 PRO Upgrade Kit (#01-04-158) – great performance and reliability

Vanguard Cyclonic Upgrade Kit (#01-04-306) – powerful, with enhanced air filtration for longer life

For more details on engine types and compatibility, you can check out this article:
Mastering Cyclone Rake Engines – A Deep Dive into Briggs & Stratton Engines

Let me know if you'd like help choosing between these two, or if you’re unsure which engine is currently on your unit.","{""id"": ""Q - 164""}"
"{""input"": ""There""s a lot of dust coming out of the collector bag vents""}","Cyclone Rake's powerful suction is a game-changer for yard cleanup, but it can sometimes create dust that might concern some property owners. We've discovered some practical, low-tech strategies to help minimize dust generation during your lawn collection process.

Dust Reduction Techniques:

1. Timing Your Collection

Collect leaves early in the day
Ideal conditions: After light rain or when dew is present
Moisture helps naturally suppress dust particles

2. Throttle Control Management

Experiment with throttle settings
Reduce from 100% to approximately 75%

Benefits:

1. Reduces airflow
2. Minimizes dust generation
3. Maintains collection performance

Important Considerations:

1. Performance remains a priority
2. Adjust throttle carefully to avoid operational issues
3. Some dust is inevitable, especially in bare lawn areas","{""id"": ""Q - 189""}"
"{""input"": ""What is the part number for Replacement Blower Unit for a  110 - Commercial PRO Commercial Pro (NOT XR and Cyclonic)?""}","For your Cyclone Rake 110 – Commercial PRO model with a Vanguard 6.5HP Phase 1 engine, there are a few replacement blower unit options depending on what you need and whether you’d like the impeller and liner included:

Blower Only (No Impeller):

Part #01-03-1038 – Standard liner

Part #01-03-1068 – Blue Diamond liner (upgraded durability)

Blower with 5-Blade Impeller:

Part #01-04-038 – Standard liner

Part #01-04-068 – Blue Diamond liner  (upgraded durability)

Each option is fully compatible with your Cyclone Rake's Vanguard engine. If you're not sure whether you need a new impeller or liner, I’d be glad to help you figure that out.

You can review more part details here:
Commercial PRO Replacement Parts

Let me know which kit you'd like to go with or if you need help placing your order.","{""id"": ""Q - 154""}"
"{""input"": ""What is the part number for replacement Impeller for a          Z10?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your Cyclone Rake Z-10, the correct replacement impeller is the:

5-Blade Green Impeller – Part #02-03-023

This impeller is specifically configured for the engine used in the Z-10 and is built for heavy-duty performance.

You can view and order it here:
5-Blade Green Impeller (Part #02-03-023)

If your blower housing is also worn, it may be a good time to consider a full Blower Replacement Kit, which includes the housing, impeller, and either a steel or Blue Diamond liner already installed. You can view those options here:
Blower Replacement Kits

And here’s a step-by-step guide for the impeller swap:
Replacing Your Cyclone Rake Impeller

Let me know if you'd like help ordering or confirming which setup is best for you!","{""id"": ""Q - 140""}"
"{""input"": ""Can I get a pre cut MDA?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Yes, in many cases, you can get a pre-cut Mower Deck Adapter (MDA)—it just depends on your specific mower make and model.

Here’s how it works:
Pre-Cut (Custom-Cut) MDAs:
These are available for mower decks with unique or complex shapes that would be difficult to cut at home. If your mower matches one of those specific designs, we’ll send you a pre-cut MDA tailored to it.

Uncut MDAs:
For more common, rectangular-shaped deck openings, we provide uncut MDAs. Even among similar decks, there can be small differences—cutting your own ensures the best fit.
Don’t worry—it comes with clear instructions and a helpful video tutorial, and all you need are basic tools.

To confirm whether a pre-cut MDA is available for your mower, just let us know your mower’s make, model, and deck size, and we’ll look it up for you.","{""id"": ""Q - 207""}"
"{""input"": ""What is the part number for replacement Impeller for a XL?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

To replace the impeller in your Cyclone Rake XL you can purchase the 5-blade green impeller, configured specifically for your engine. Simply follow the link below to purchase one:

The part # for the 5-blade Green Impeller is # 02-03-023 on this PAGE. 

You can view the instruction sheet for replacing the impeller by clicking HERE.

Is your blower housing still in good shape? If not, then it may be a good idea to replace both the blower housing and impeller at the same time. We do sell blower replacement kits that come with the blower housing, impeller, and steel liner or the upgraded Blue Diamond Liner installed. You can check out your options HERE.","{""id"": ""Q - 138""}"
