variables,expected_output,metadata
"{""input"": ""Can I buy just an MDA without the Cyclone Rake?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Yes, you can purchase a Mower Deck Adapter (MDA) without buying a full Cyclone Rake system.

Here’s what to know:
We offer MDAs in multiple sizes to match different vacuum systems:

6-inch systems – compatible with many non-Cyclone Rake vacuums

7-inch, 8-inch, and 10-inch systems – for larger-capacity setups

Our MDAs are designed to provide smooth debris flow and reduce clogging, even when used with other brands’ equipment

Pricing & Shipping:
MDAs typically range from $139 to $169, depending on size

$30 flat-rate shipping applies

Sales tax added where applicable

If you let me know your hose diameter and mower deck type, I’d be happy to help you pick the best fit!","{""id"": ""Q - 202""}"
"{""input"": ""What is the part number for Replacement Safety Cover for Z10 Blower Unit?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The replacement Safety Cover for the Z-10 Cyclone Rake is part number 06-02-009. This is the 10"" yellow safety cover and it comes complete with the bolt and nut needed for installation.

If you need help installing it or have any other questions about your Z10 unit, I’m here to help.

You can find more details on replacement parts here:
Z10 Blower Replacement Parts","{""id"": ""Q - 155""}"
"{""input"": ""What is the part number for replacement Impeller for a          101 - Standard Complete Platinum Standard (Not XR or Cyclonic)?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your Cyclone Rake 101 – Standard Complete Platinum model with the Tecumseh 5HP engine, you have two compatible impeller options:

Part #02-03-017 – 4-blade yellow impeller with hardware kit (original style for this model)

Part #02-03-020 – 5-blade orange impeller with hardware kit (performance upgrade option)

Both options will fit your unit, so you can choose based on whether you want to stick with the original design or upgrade for improved debris shredding.

Let me know if you'd like help placing the order or deciding between the two options.","{""id"": ""Q - 141""}"
"{""input"": ""What is the part number for replacement Impeller for a          109 - Commander Commander (Not XR or Cyclonic)?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

To replace the impeller in your Cyclone Rake Commander with a Vanguard 6.5HP Phase 1 engine, you can purchase the 4-blade yellow impeller, or you can choose the 5-blade orange impeller, which would provide you with 25% more suction power. You can follow the links below to purchase one:

Part #02-03-017 -- 4-Blade Yellow Impeller w/hardware kit -for Tecumseh, INTEK, Phase 1 & 2 Vanguard Engines

Part #02-03-020 -- 5-Blade Orange Impeller w/hardware kit - for Tecumseh, B&S Intek, Phase I & II Vanguard

You can view the instruction sheet for replacing the impeller by clicking HERE. To find other replacement parts for your Cyclone Rake you can find them in the Aftermarket Parts section of our website.","{""id"": ""Q - 139""}"
"{""input"": ""What is the tongue weight of the Cyclone Rake Commercial PRO?""}","Thanks for reaching out with your question! I'm happy to help you with this.

The tongue weight of the Cyclone Rake Commercial PRO is approximately 90 to 100 pounds when fully assembled and empty. The total assembled weight of the unit is 225 pounds.

That tongue weight is the amount of downward pressure placed on your mower’s hitch, so it's helpful to make sure your mower can handle that safely.

You can see the full specs for all models here:
Cyclone Rake Weight Specifications

Let me know if you’d like help checking compatibility with your mower!","{""id"": ""Q - 182""}"
"{""input"": ""Can I remove the key from the e-start engine once it has started?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Yes, you can remove the key from your electric-start engine once it’s running, and the engine will continue to operate normally.

Just be sure to store the key somewhere safe, like your pocket or toolbox, so it doesn’t get misplaced while you work.

Let me know if you have any other questions!","{""id"": ""Q - 212""}"
"{""input"": ""What is the part number for replacement Engine for a                    106 - Commander PRO JetPath  with a Intek 6 HP engine?""}","Thanks for reaching out about your engine replacement—I’m happy to help with this.

If you have a Commander PRO JetPath (Model 106) with a 6HP Briggs & Stratton Intek engine, you’ve got two solid upgrade options to replace that engine:

Part #01-04-158 – Briggs & Stratton XR950 PRO Engine Upgrade Kit

Part #01-04-306 – Briggs & Stratton 6.5HP Vanguard Cyclonic Upgrade Kit

Here’s a quick summary:
Both kits are fully compatible with your Commander PRO JetPath and will replace the older Intek 6HP engine.

The XR950 PRO offers reliable performance and is an excellent all-around upgrade.

The Vanguard Cyclonic has advanced air filtration and a bit more power for tougher conditions.

You can find more details on these engine options and what sets them apart in this article:
Mastering Cyclone Rake Engines – A Deep Dive into Briggs & Stratton Engines

Let me know if you’d like help choosing between the two!","{""id"": ""Q - 166""}"
"{""input"": ""Can the Cyclone Rake connect to articulating mower?""}","Thanks for reaching out with your question! I'm happy to help you with this.

Unfortunately, the Cyclone Rake can’t be connected to articulating mowers. These machines are designed with a pivoting frame, and that constant movement causes problems for how the Cyclone Rake connects and operates.

Here’s why it won’t work:
The hose connection becomes unstable—as the deck pivots away from the engine-blower unit, the hose can pull loose or kink.

Our system relies on a fixed-length hose and Dual Pin Hitch, which work best with rigid-frame mowers to minimize clogs and hose movement.

For more details on compatible mower styles, check out this article:
Cyclone Rake Mower Compatibility Guide

If you have another mower in mind or want to double-check your setup, just let me know your model and deck size—I’ll be happy to look into it for you.","{""id"": ""Q - 225""}"
"{""input"": ""What is the part number for Replacement Safety Cover for XL Blower Unit?""}","Thanks for reaching out with your question! I’m happy to help you with this.

The replacement safety cover for the XL Blower Unit is:
Part #05-02-1160 – Safety Cover Yellow 8"" with Bolt & Nut

This part includes everything you need to securely replace the cover on your XL model’s blower housing.

Let me know if you’d like help ordering or confirming fit with your setup.","{""id"": ""Q - 156""}"
"{""input"": ""What is the tongue weight of the Cyclone Rake Commander?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The tongue weight of the Cyclone Rake Commander is approximately 90–100 pounds.

Here’s a quick breakdown of the weights:

Engine/Blower Unit: 85 pounds

Tongue Weight (Commander): 90–100 pounds

Total Assembled Weight: 200 pounds

If you have any other questions, please feel free to ask!","{""id"": ""Q - 181""}"
"{""input"": ""What is the part number for replacement Engine for a                    103 - PRO PRO?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your Cyclone Rake 103 – PRO model, you have two engine upgrade options depending on your preference:

Part #01-04-158 – Briggs & Stratton XR950 PRO Engine Upgrade Kit

Part #01-04-306 – Briggs & Stratton 6.5HP Vanguard Cyclonic Upgrade Kit

Both kits are fully compatible with your PRO unit and come with all the necessary components for a smooth replacement.

If you're not sure which engine your unit currently has or want help deciding between the two, just let me know—I’d be happy to assist.","{""id"": ""Q - 165""}"
"{""input"": ""What is Decibel Rating for XL and Z-10""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Both the Cyclone Rake XL and Z-10 have a decibel rating of approximately 102 dB, which is about as loud as a chainsaw at 3 feet or a snowmobile.

For your safety while operating:
Always wear ear protection to prevent hearing damage

Wear eye protection to guard against flying debris

Consider using gloves and sturdy footwear for added protection

If you have any other questions about safe operation or equipment specs, feel free to ask!","{""id"": ""Q - 228""}"
"{""input"": ""Customer wants to recycle/upcycle their Cyclone Rake""}","When you're ready to part ways with your Cyclone Rake, there are several environmentally responsible options to consider. We appreciate your commitment to reducing waste and making sure your equipment finds new life or is properly recycled.

If your Cyclone Rake is still in good working condition, selling it is a great option:

1. Our Facebook Community Page is an excellent marketplace with members who understand the value of Cyclone Rake products
2. Other popular platforms include eBay, Craigslist, and Facebook Marketplace
3. Used Cyclone Rakes typically have a robust resale market due to their durability and quality
4. We can provide you with your original sales order if needed for your listing or to show potential buyers
5. We're happy to provide you with digital copies of the manual and parts list to help with your sale listing
6. These documents can help potential buyers understand the features and maintenance requirements of your Cyclone Rake

Please be aware that the Cyclone Rake warranty is not transferable to the new owner. If you're considering selling, you should inform potential buyers about this policy. Please note these policies regarding used Cyclone Rake equipment:

1. We do not buy back or purchase used Cyclone Rakes
2. We cannot provide recommendations for resale pricing","{""id"": ""Q - 227""}"
"{""input"": ""What is the part number for replacement collector bag for the 109 - Commander Commander model?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your 109 – Commander model, the correct replacement collector bag is:

Part #03-03-308 – Commander Collector Bag (Velcro style)

You can view and order the replacement bag right here:
Commander Collector Bag – Velcro

Let me know if you need help with installation or anything else!","{""id"": ""Q - 131""}"
"{""input"": ""Can I buy individual parts if I don""t own a Cyclone Rake?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

While you’re welcome to browse and purchase parts from our website, please note that our components are specifically designed for use with the Cyclone Rake system. Because of that, we can’t guarantee how well they’ll work with other lawn and leaf vacuums, and we’re not able to advise on compatibility for non-Cyclone Rake setups.

That said, here are a few parts that might still be useful:
Deck hoses (7"", 8"", or 10"") – These are heavy-duty and could potentially work with other machines

Mower deck adapters – These may fit your setup depending on the mower deck design

Feel free to explore the Parts section on our website, and if you do end up with a Cyclone Rake in the future, we’ll be glad to help you get it fully equipped!","{""id"": ""Q - 198""}"
"{""input"": ""Can I get a Honda Engine?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

At this time, we do not offer a Honda engine option with Cyclone Rake units.

We exclusively use Briggs & Stratton Vanguard engines because they’re engineered to perform in tough conditions and deliver the durability our customers expect. Here’s why we’ve chosen them:

Proven reliability across various types of power equipment

Excellent performance under demanding yard cleanup jobs

Industry-leading support network with over 25,000 authorized service centers worldwide

We truly believe these engines give our customers the best mix of performance, support, and long-term value.

If you have any other questions or need help with engine options, I’m here to help!","{""id"": ""Q - 206""}"
"{""input"": ""Can I buy a second top brace for my Cyclone Rake?""}","The Cyclone Rake features a single top brace bar that serves to maintain separation between the rear end of the side tubes, making the dumping process easier. However, due to the wider dimensions of the collector bags in models like the Commander, Commercial Pro, XL, and Z-10, it is not possible to incorporate a second top brace bar for the front. Instead, the holes located at the front of the side tubes are specifically designed for attaching the optional Roof Rack Carrier accessory.

The Roof Rack Carrier is an accessory that can be added to the Cyclone Rake, providing users with a convenient way to secure additional equipment or items on top of their Collector Bag. It consists of two heavy-duty steel struts and quick-release knobs, ensuring easy attachment to the Collector Bag without the need for tools.","{""id"": ""Q - 197""}"
"{""input"": ""Can I Attach My Hitch 16"" Above Ground? What\""s the ideal height for the hitch?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

If your hitch is mounted 16 inches above the ground, that’s outside the recommended range for optimal Cyclone Rake performance.

Ideal Hitch Height:
10 to 14 inches from the ground

Centered between your mower’s rear wheels

Level to the ground — avoid tilting the hitch up or down

Mounting the hitch higher than 14 inches can cause issues with balance, hose alignment, and maneuverability. For best results, we recommend adjusting the hitch or adding a mounting plate to get it within the ideal range.

Let me know if you’d like help troubleshooting your setup—I’m happy to assist!","{""id"": ""Q - 200""}"
"{""input"": ""What is the part number for replacement impeller for a                    101 - Standard Complete Platinum with an Intek engine?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your Cyclone Rake 101 - Standard Complete Platinum model with an Intek engine, you have two replacement impeller options:

Part #02-03-017 – 4-Blade Yellow Impeller with Hardware Kit
(Original replacement impeller designed specifically for your model.)

Part #02-03-020 – 5-Blade Orange Impeller with Hardware Kit
(Upgraded option providing approximately 25% more suction compared to the original.)

Let me know if you need anything else!","{""id"": ""Q - 160""}"
"{""input"": ""What is the part number for replacement Engine for a                    102 - Commercial?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your Cyclone Rake 102 - Commercial, you have two suitable replacement engine options:

Part #01-04-158 – Briggs & Stratton XR950 PRO Engine Upgrade Kit
(Reliable upgrade option with excellent overall performance.)

Part #01-04-306 – Briggs & Stratton 6.5HP Vanguard Cyclonic Upgrade Kit
(Enhanced upgrade featuring improved air filtration and durability.)

If you have any additional questions or need help choosing, please let me know!","{""id"": ""Q - 161""}"
"{""input"": ""What is the dimensions of wheel bearings (01-01-334)?""}","Thanks for reaching out with your question! I'm happy to help you with this.

The wheel bearing dimensions for the Cyclone Rake are as follows:

Inner Diameter (ID): 30mm

Outer Diameter (OD): 35mm

Width (Thickness): 19mm

Overall Dimensions: 30mm x 35mm x 19mm (metric)

If you're replacing a bearing or just checking for compatibility, these measurements should help you confirm a proper fit.","{""id"": ""Q - 231""}"
"{""input"": ""What is the part number for replacement Impeller for a          110 - Commercial PRO 6.5 HP Vanguard Phase ll engine?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The correct replacement impeller for your Cyclone Rake 110 - Commercial PRO with the 6.5 HP Vanguard Phase II engine is:

Part #02-03-020 – 5-Blade Orange Impeller with Hardware Kit

Please let me know if there's anything else I can assist you with!","{""id"": ""Q - 152""}"
"{""input"": ""Can I Install An Hour Meter On My Engine?""}","Thanks for reaching out with your question! I'm happy to help you with this.

While it’s a great idea to track your engine run time, we don’t offer hour meters for sale. After checking with our technician, we recommend reaching out directly to Briggs & Stratton for guidance on hour meter compatibility and installation for your engine model.

You can use this link to find a Briggs & Stratton dealer near you who can assist:
Briggs & Stratton Dealer Locator

Let me know if you have any other questions about maintaining your Cyclone Rake—we’re always here to help.","{""id"": ""Q - 208""}"
"{""input"": ""What is the part number for replacement Impeller for a          102 - Commercial (Intek)?""}","For your 102 – Commercial model with an Intek engine, you have two compatible replacement impeller options:

You have two compatible impeller options:
Part #02-03-017 – 4-Blade Yellow Impeller with Hardware Kit
This is the original replacement for your model.

Part #02-03-020 – 5-Blade Orange Impeller with Hardware Kit
This upgraded impeller delivers 25% more suction and fits your unit as well.

Let me know if you’d like help choosing between the two or placing an order!","{""id"": ""Q - 144""}"
"{""input"": ""What is the part number for replacement Engine for a                    Z-10?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

For your Cyclone Rake Z-10, here are the correct replacement engine options:

Part #06-02-301 – Briggs & Stratton 10HP Vanguard Phase II (Pull-Start)

Part #06-02-301E – Briggs & Stratton 10HP Vanguard Phase II (Electric-Start)

Both engines are built for powerful performance and long-term reliability. Let me know if you’d like help placing an order or choosing between the two options!","{""id"": ""Q - 162""}"
"{""input"": ""can I stop the electric start engine with the starter key?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

No, the starter key does not stop the electric start engine. It’s only used to crank the engine during startup and does not control the ignition.

🔑 Here's how the switch works:
Position 1: Normal (key at rest)

Position 2: Start (spring-loaded—only used while cranking)

✅ To stop the engine:
Idle down for 15–30 seconds using the throttle lever

Move the red fuel shutoff lever to the OFF position

Remove the key

Keep in mind, the key cannot be turned to the left like a car ignition. It doesn’t cut power to the engine.","{""id"": ""Q - 199""}"
"{""input"": ""What is the part number for replacement collector bag for the XL model?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Since you own a Cyclone Rake XL, the correct part number for the replacement collector bag is 05-03-308. This is the full collector bag assembly designed specifically for the XL model and includes the Velcro-style rear panel.

You can view and order the part here:
Commercial PRO, XL, and Z-10 Collector Bag – Velcro

Let me know if you need help with installation or anything else!","{""id"": ""Q - 129""}"
"{""input"": ""What is the part number for replacement Impeller for a          106 - Commander PRO JetPath Commander Pro (Intek)?""}","For your Cyclone Rake 106 – Commander PRO JetPath model with the Briggs & Stratton Intek 6HP engine, you have two compatible impeller options:

Part #02-03-017 – 4-blade yellow impeller with hardware kit 

Part #02-03-020 – 5-blade orange impeller with hardware kit 

Both will work with your unit, so it depends on whether you’d prefer the standard replacement or the upgraded performance.","{""id"": ""Q - 145""}"
"{""input"": ""The deck hose is short by a few inches/pulled out of the collar""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

If your deck hose feels too short or is pulling out of the collar, here are a few easy troubleshooting steps you can try:

✅ Troubleshooting a Short Deck Hose:
Adjust the insertion depth: The hose doesn’t need to be fully threaded into the collar. Try pulling it out slightly—this can give you a few extra inches.

Modify the hitch position: Loosen the hitch fork assembly and move the Cyclone Rake slightly closer to your mower. This small adjustment can make a big difference.

Let the hose expand: New hoses are tightly packed for shipping and may need a bit of time (and warmth) to fully stretch out. Laying the hose out in a warm spot can help it reach its full length.

Still too short?
No problem—just send us a few photos of your setup, and we’ll be happy to send you a replacement hose that fits properly.

Let me know how it goes or if you’d like to start a replacement request!","{""id"": ""Q - 188""}"
"{""input"": ""What is the part number for replacement Engine for a                    101 - Standard Complete Platinum Standard/Complete/Platinum?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

If you need a replacement engine for your 101 – Standard Complete Platinum Cyclone Rake with a Tecumseh 5HP engine, there are two excellent upgrade options, depending on what you're looking for in terms of performance and features:

✅ Option 1: Briggs & Stratton XR950PRO Upgrade Kit

Part #: 01-04-158

A powerful, professional-grade engine designed for durability and consistent performance

Comes with a 2-year warranty

View the XR950PRO Upgrade Kit

✅ Option 2: 6.5HP Vanguard Cyclonic Upgrade Kit

Part #: 01-04-306

Adds premium features like:

Transport Guard to prevent fuel and oil mixing during transport

High-capacity air cleaner for longer maintenance intervals

Lower-tone muffler for quieter operation

Commercial-style carburetor

Backed by a 3-year commercial warranty

View the Vanguard Cyclonic Engine Upgrade Kit

Either option will be a solid replacement!

And don’t forget—we recommend tuning up your engine after the first 5 hours of use, and then once a year. You can find the right Engine Maintenance Kit for either of these engines to help extend their life and performance.

Let me know if you'd like help choosing between the two or placing an order!","{""id"": ""Q - 157""}"
"{""input"": ""Are the wheels rubber or pneumatic?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The wheels on the Cyclone Rake are pneumatic and made of real rubber, not plastic. They’re built for durability, smooth performance, and lawn-friendly operation.

Here’s what makes them stand out:
Pneumatic (air-filled) tires for better traction and a smoother ride

Premium rubber construction – not plastic or composite

Durable metal hubs for long-lasting strength

Manufacturer name stamped on each tire – no generic parts

Designed to protect your lawn while offering stable performance across various terrain

Let me know if you have any more questions—I’m happy to help!","{""id"": ""Q - 193""}"
"{""input"": ""Do we have a hitch to attach to a John Deere Click-n-go hitch setup?""}","Thanks for reaching out with your question! I'm happy to help you with this.

We don’t offer a hitch that connects directly to the John Deere Click-n-Go bracket system, but that doesn’t necessarily mean you're out of options. Depending on how the back of your mower is set up, we may still have a compatible hitch for your John Deere tractor.

Here’s what we’ll need to check compatibility:
Your John Deere model number

Your mower deck size

With that info, I can look up the right hitch option for your setup.

Let me know when you have those details handy—I’ll be glad to help get you squared away!","{""id"": ""Q - 235""}"
"{""input"": ""What is the tongue weight of the Cyclone Rake XL?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

The tongue weight of the Cyclone Rake XL is approximately 120 pounds.

Here's a quick breakdown of the weights for your Cyclone Rake XL:

Engine/Blower Unit: 110 pounds

Tongue Weight: ~120 pounds

Total Assembled Weight: 250 pounds

Let me know if you need anything else!","{""id"": ""Q - 183""}"
"{""input"": ""Can the Cyclone Rake go on hills?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Yes, your Cyclone Rake can be used on hills, but there are a few important safety and performance guidelines to keep in mind to protect both your equipment and yourself:

✅ Maximum Slope Guidelines
The Cyclone Rake is safe to use on slopes up to 20 degrees

Slopes steeper than that can cause:

Hitch pin binding

Excess stress on your mower and rake

Potential safety hazards

⛽ Engine Performance on Hills
If your engine stalls when going up or down hills, it’s likely a fuel delivery issue:

The fuel pickup hose is in the corner of the tank, so steep angles and low fuel can cause the engine to starve

Keep your fuel tank more than half full to prevent stalling

Tackle sloped areas early on, when your tank is full

⚠️ Safety Tips for Sloped Terrain
Always drive straight up or down the slope — never across

Avoid wet grass for better traction

Monitor for signs of stress or binding on your equipment and stop if anything feels off

The engine uses splash lubrication, so avoid long periods on steep slopes to prevent overheating

🛠 Best Practices:
Work in dry conditions when possible

Plan your mowing path to minimize time spent on hills

Start with a full tank

For steep yards, work downhill first, while the tank is fullest

Following these guidelines will help you get great performance on hilly terrain while keeping everything running safely and smoothly.

Let me know if you need anything else!","{""id"": ""Q - 187""}"
"{""input"": ""Can I use my Cyclone Rake in the rain?""}","We would not recommend using your Cyclone Rake in the rain, or leaving it exposed to any kind of precipitation. There are electrical connections maintaining the spark within your Cyclone Rake engine, as it is an internal combustion engine. Water can affect those connections negatively. Additionally, water entering the inside of the engine can damage parts when running.

All that is to say - it's not ideal to run the engine in the rain, or to leave the engine uncovered if stored outside. Keep your Cyclone Rake in a dry sheltered place. Be sure to get out any organic debris from the bag before putting it away for storage. Acorns, nuts, and other debris will attract mice and rodents. Mothballs will help keep them away!

Lastly, always add fuel stabilizer to keep the fuel fresh. There is no need to drain gasoline from the engine if a fuel stabilizer is added. Fuel can become stale when stored for over 30 days. Adding fuel stabilizer will prevent gum and varnish buildup. Keep the gas tank 95% full to avoid condensation buildup in the tank during storage. Run the engine for 5 minutes after adding the stabilizer to treat the entire fuel system. This prepares the engine and gasoline for up to 24 months of storage. While not specifically required for daily use, Briggs & Stratton does recommend the use of fuel treatment and stabilizer as a regular part of the refueling process.","{""id"": ""Q - 216""}"
"{""input"": ""Do we have Tecumseh engine parts?""}","Thank you so much for reaching out with your question! I'm happy to help you with this.

Unfortunately, we no longer carry replacement parts for Tecumseh engines, as Tecumseh closed its operations in 2009 and we discontinued using their engines some time ago. However, I can still point you in the right direction depending on what you need:

🔧 Finding Parts for Older Tecumseh Engines
The Cyclone Rake originally used:

Model #OHH50 (5.0HP engine)

Model #OHH60 (6.0HP engine)

For parts, we recommend:

Visiting Jack's Small Engines – they specialize in older mower and tractor engine parts

Checking with a local small engine repair shop

🛠️ Common Tecumseh Issue – Slipping Throttle
If your throttle slips down during use, here’s a quick fix:

Remove the air filter to access the carburetor area

Find the small brass nut or screw next to the throttle

Tighten it gently but firmly – this presses a plate against the throttle slider and helps it stay in place

🔄 Engine Replacement Options
If you're looking to replace your Tecumseh engine, we offer two great upgrade options that work with older Cyclone Rake models:

XR950 PRO Engine Upgrade Kit

6.5HP Cyclonic Vanguard Engine Upgrade Kit

Both offer improved performance, easier starting, and better long-term reliability.

Let me know if you'd like help choosing the best replacement for your setup!","{""id"": ""Q - 186""}"
